Id,Name,Code,Description,IconUrl,DisplayOrder,Status,RequiresOdometerTracking,RequiresTimeTracking,AllowsMultipleInstances,IdentificationSigns,ConsequencesIfNotHandled
c0000001-0000-0000-0000-000000000001,Dầu nhớt động cơ,ENGINE-OIL,"Dầu bôi trơn động cơ, cần thay định kỳ theo km hoặc thời gian",https://d3iova6424vljy.cloudfront.net/master/part-categories/ENGINE-OIL.png,1,1,TRUE,TRUE,FALSE,"Dầu đen, nhớt nhớt; động cơ nóng bất thường; đèn báo dầu sáng; tiếng kêu kim loại từ động cơ.","Mài mòn nhanh, kẹt piston; hỏng động cơ; chi phí sửa chữa rất cao hoặc phải thay máy."
c0000002-0000-0000-0000-000000000002,Lốp xe,TIRE,"Lốp trước và lốp sau, thay khi mòn hoặc đạt tuổi thọ",https://d3iova6424vljy.cloudfront.net/master/part-categories/TIRE.png,2,1,TRUE,TRUE,TRUE,Gai lốp mòn dưới 1.6mm; nứt rạn; phồng lốp; lốp non hơi thường xuyên; rung lái khi chạy.,"Trượt, mất lái khi phanh/trời mưa; nổ lốp khi chạy tốc độ cao; tai nạn nghiêm trọng."
c0000003-0000-0000-0000-000000000003,Ắc quy,BATTERY,"Bình điện ắc quy, thay khi hết tuổi thọ hoặc không giữ điện",https://d3iova6424vljy.cloudfront.net/master/part-categories/BATTERY.png,3,1,FALSE,TRUE,FALSE,"Khởi động yếu hoặc không nổ; đèn pha mờ; ắc quy phồng, rỉ nước; xe để vài ngày là hết điện.",Chết máy giữa đường; hỏng bình; ảnh hưởng bộ sạc và thiết bị điện; không khởi động được.
c0000004-0000-0000-0000-000000000004,Má phanh,BRAKE-PAD,"Má phanh trước và sau, thay khi mòn",https://d3iova6424vljy.cloudfront.net/master/part-categories/BRAKE-PAD.png,4,1,TRUE,TRUE,TRUE,"Tiếng kêu ken két khi phanh; phanh không ăn; tay phanh/ pedal bị trễ; đĩa phanh xước, rỗ.","Mất phanh; đĩa phanh hỏng theo; va chạm, tai nạn do không dừng kịp."
c0000005-0000-0000-0000-000000000005,Bugi,SPARK-PLUG,"Bugi đánh lửa động cơ, thay định kỳ",https://d3iova6424vljy.cloudfront.net/master/part-categories/SPARK-PLUG.png,5,1,TRUE,TRUE,FALSE,"Khó nổ, giật khi tăng ga; tốn xăng; động cơ rung; bugi đen, dính dầu hoặc cháy trắng đầu điện cực.","Chết máy; đánh lửa kém gây cháy không hết nhiên liệu, hỏng cat; hao xăng, giảm công suất."
c0000006-0000-0000-0000-000000000006,Lọc gió,AIR-FILTER,"Lọc không khí động cơ, cần vệ sinh và thay định kỳ",https://d3iova6424vljy.cloudfront.net/master/part-categories/AIR-FILTER.png,6,1,TRUE,TRUE,FALSE,"Xe yếu, không bốc; tốn xăng; lọc gió bẩn, rách hoặc ẩm mốc; động cơ nổ không đều.","Bụi cát vào buồng đốt, mài mòn xy-lanh; giảm công suất; hỏng bugi, hao xăng lâu dài."
c0000007-0000-0000-0000-000000000007,Nhông sên dĩa,CHAIN-SPROCKET,"Bộ truyền động xích và nhông, thay khi mòn",https://d3iova6424vljy.cloudfront.net/master/part-categories/CHAIN-SPROCKET.png,7,1,TRUE,FALSE,FALSE,"Xích kêu lạch cạch; xích trùng dù đã chỉnh; răng nhông mòn vẹt; xích rỉ, khô dầu.","Đứt xích khi chạy, bó bánh; hỏng nhông, moay-ơ; nguy cơ té xe, hỏng hộp số."
c0000008-0000-0000-0000-000000000008,Dầu phanh,BRAKE-FLUID,"Dầu phanh thủy lực, thay định kỳ theo thời gian hoặc km",https://d3iova6424vljy.cloudfront.net/master/part-categories/BRAKE-FLUID.png,8,1,TRUE,TRUE,FALSE,Dầu đổi màu đen hoặc vẩn đục; mức dầu thấp; phanh mềm hoặc trễ; có nước lẫn vào.,Sôi dầu khi phanh gấp; mất phanh; hỏng xy-lanh phanh; tai nạn do không dừng kịp.
c0000009-0000-0000-0000-000000000009,Lọc nhớt,OIL-FILTER,"Lọc dầu nhớt động cơ, thay kèm mỗi lần thay dầu nhớt",https://d3iova6424vljy.cloudfront.net/master/part-categories/OIL-FILTER.png,9,1,TRUE,TRUE,FALSE,Thay cùng chu kỳ dầu nhớt; lọc tắc khi đèn dầu sáng thường xuyên; dầu đen nhanh bất thường.,"Dầu không lọc sạch, mài mòn động cơ; tắc lọc gây thiếu dầu; hỏng máy."
c0000010-0000-0000-0000-000000000010,Nước làm mát,COOLANT,"Dung dịch làm mát động cơ, kiểm tra và thay định kỳ",https://d3iova6424vljy.cloudfront.net/master/part-categories/COOLANT.png,10,1,TRUE,TRUE,FALSE,Mức nước trong bình thấp; nước đổi màu rỉ; động cơ nóng quá; rò rỉ dưới gầm.,"Động cơ quá nhiệt; bó máy; hỏng gioăng, xy-lanh; chi phí sửa rất cao."
